"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.15757806620517e-11,1.44507387101651,0.195,0.186,4.51602665037403e-07,"1","Rpgr"
1.70713275219352e-11,1.436220488005,0.219,0.22,3.57319956361625e-07,"1","Slc38a9"
1.99669266627466e-56,1.42519111301427,0.375,0.372,4.17927741977948e-52,"1","A430035B10Rik"
3.62996860267456e-07,1.42317691564175,0.209,0.217,0.00759788728225812,"1","Gm11342"
4.43465126709579e-56,1.41992918304318,0.323,0.291,9.28216856715819e-52,"1","Tia1"
2.75973537451142e-14,1.4146564156022,0.227,0.223,5.77640211238985e-10,"1","Tmcc1"
3.21499794617618e-23,1.41430025623246,0.258,0.247,6.72931220114136e-19,"1","Krit1"
4.44987335199212e-07,1.41073228617872,0.201,0.176,0.00931402991305471,"1","Snhg20"
1.07311664319765e-19,1.3899257310937,0.237,0.226,2.24614044587701e-15,"1","Crtc3"
1.3272104391841e-16,1.3853163413535,0.238,0.231,2.77798417025625e-12,"1","Clk4"
2.34680025760738e-22,1.37563364379492,0.266,0.258,4.91208761919802e-18,"1","Fam133b"
2.06502430413677e-117,1.37370950703642,0.425,0.386,4.32230237098867e-113,"1","Fam53b"
9.79427481162759e-12,1.37008306977879,0.249,0.258,2.05003966082177e-07,"1","Phf14"
1.4977777977666e-06,1.37004183919931,0.213,0.222,0.0313499870850527,"1","Zfp207"
5.25869406935344e-23,1.37003630539782,0.256,0.242,1.10069725565637e-18,"1","Prpf39"
2.58533865650779e-165,1.36943064369559,0.463,0.401,5.41137234193645e-161,"1","Tra2a"
2.04375590664469e-72,1.36832239288695,0.365,0.335,4.277785488198e-68,"1","Pcdh15"
5.9994231119792e-11,1.36533151026608,0.208,0.205,1.25573925156837e-06,"1","C2cd5"
0,1.36027861170998,0.683,0.6,0,"1","Camk2d"
4.54716240364623e-24,1.35173139218814,0.291,0.294,9.51766562707193e-20,"1","Pdzd2"
5.78598414145937e-10,1.35054665835248,0.196,0.19,1.21106434064886e-05,"1","Srrm4"
1.38994391928633e-72,1.34843264422798,0.359,0.322,2.90929161745821e-68,"1","Ccnl1"
1.79198657479214e-193,1.34331318786621,0.501,0.446,3.75080709969743e-189,"1","Fyco1"
1.65056805615677e-48,1.31588506714941,0.343,0.332,3.45480399834173e-44,"1","Acsl1"
7.08260141576226e-184,1.2914695439328,0.507,0.449,1.4824593023332e-179,"1","Rbm25"
1.98483203045678e-51,1.28908494970441,0.347,0.334,4.15445192294909e-47,"1","Gpatch8"
5.86397910836829e-52,1.26667660884043,0.345,0.329,1.22738946717257e-47,"1","Rbm5"
7.90425916904123e-23,1.26054330783534,0.301,0.307,1.65444048667202e-18,"1","Hadha"
4.57864755507839e-30,1.25523509047208,0.331,0.338,9.58356719753459e-26,"1","Tnrc6c"
1.71888095580436e-209,1.24626361297413,0.54,0.479,3.59778972859411e-205,"1","Pnisr"
1.86688126244206e-06,1.24500893975833,0.105,0.136,0.0390756917041747,"1","Adcy6"
1.35683091142227e-31,1.22797842848498,0.341,0.342,2.83998278069796e-27,"1","Srsf2"
2.350837994199e-12,1.22449564047376,0.285,0.305,4.92053900565794e-08,"1","Mycbp2"
8.62463847091088e-93,1.22136298741422,0.451,0.444,1.80522307834636e-88,"1","Prpf4b"
1.13975790265012e-07,1.21760672722729,0.093,0.12,0.00238562726603697,"1","Per3"
1.12830738084947e-06,1.21474451501866,0.083,0.108,0.0236166017885603,"1","Cplane1"
4.73529524627949e-25,1.21257699503467,0.326,0.327,9.9114464799876e-21,"1","Srsf1"
8.87951113858588e-11,1.21012588514959,0.289,0.317,1.85857047641741e-06,"1","Atp2c1"
9.0665462194686e-90,1.20751708409869,0.439,0.417,1.89771878919697e-85,"1","Pnn"
3.99960723159637e-77,1.20625872285753,0.485,0.449,8.37157789645437e-73,"1","Vax2os"
1.21244445510104e-07,1.19872940311475,0.087,0.114,0.00253776748897199,"1","Riok1"
0,1.19853612436444,0.699,0.637,0,"1","March1"
