"resolution","actual_k","method"
0.00470395206862399,6,"PCA + Louvain"
0.00482929426677231,6,"PCA + Louvain"
0.0049579763515537,6,"PCA + Louvain"
0.00509008731807826,6,"PCA + Louvain"
0.00522571853283285,6,"PCA + Louvain"
0.00536496379686915,6,"PCA + Louvain"
0.00550791941067548,6,"PCA + Louvain"
0.00565468424077712,6,"PCA + Louvain"
0.0058053597881113,6,"PCA + Louvain"
0.00596005025822414,6,"PCA + Louvain"
0.00611886263333807,6,"PCA + Louvain"
0.00628190674633954,6,"PCA + Louvain"
0.00644929535673821,6,"PCA + Louvain"
0.00662114422865024,6,"PCA + Louvain"
0.00679757221085943,6,"PCA + Louvain"
0.00697870131901173,6,"PCA + Louvain"
0.00716465681999994,6,"PCA + Louvain"
0.00735556731859688,6,"PCA + Louvain"
0.00755156484639706,6,"PCA + Louvain"
0.00775278495312827,7,"PCA + Louvain"
0.00795936680039623,7,"PCA + Louvain"
0.00817145325792729,7,"PCA + Louvain"
0.00838919100237554,6,"PCA + Louvain"
0.00861273061876271,7,"PCA + Louvain"
0.00884222670462117,7,"PCA + Louvain"
0.00907783797691187,6,"PCA + Louvain"
0.00931972738179121,7,"PCA + Louvain"
0.00956806220730284,7,"PCA + Louvain"
0.00982301419907217,7,"PCA + Louvain"
0.0100847596790838,8,"PCA + Louvain"
0.0103534796676239,8,"PCA + Louvain"
0.0106293600084718,8,"PCA + Louvain"
0.0109125914974273,8,"PCA + Louvain"
0.0112033700142633,8,"PCA + Louvain"
0.0115018966581939,8,"PCA + Louvain"
0.0118083778869524,8,"PCA + Louvain"
0.0121230256595751,8,"PCA + Louvain"
0.0124460575829901,8,"PCA + Louvain"
0.0127776970625116,8,"PCA + Louvain"
0.0131181734563446,8,"PCA + Louvain"
0.0134677222342066,9,"PCA + Louvain"
0.0138265851401759,10,"PCA + Louvain"
0.0141950103598788,10,"PCA + Louvain"
0.0145732526921323,10,"PCA + Louvain"
0.0149615737251604,10,"PCA + Louvain"
0.0153602420175051,10,"PCA + Louvain"
0.0157695332837589,10,"PCA + Louvain"
0.0161897305852458,10,"PCA + Louvain"
0.0166211245257834,10,"PCA + Louvain"
0.0170640134526614,10,"PCA + Louvain"
0.0175187036629753,11,"PCA + Louvain"
0.0179855096154579,11,"PCA + Louvain"
0.0184647541479556,11,"PCA + Louvain"
0.0189567687006995,11,"PCA + Louvain"
0.019461893545526,11,"PCA + Louvain"
0.0199804780212046,11,"PCA + Louvain"
0.0205128807750372,11,"PCA + Louvain"
0.0210594700108943,11,"PCA + Louvain"
0.0216206237438608,12,"PCA + Louvain"
0.0221967300616673,11,"PCA + Louvain"
0.022788187393087,11,"PCA + Louvain"
0.0233954047834846,11,"PCA + Louvain"
0.0240188021777079,11,"PCA + Louvain"
0.0246588107105168,11,"PCA + Louvain"
0.0253158730047514,11,"PCA + Louvain"
0.0259904434774449,12,"PCA + Louvain"
0.0266829886540936,12,"PCA + Louvain"
0.0273939874913009,12,"PCA + Louvain"
0.0281239317080182,13,"PCA + Louvain"
0.0288733261256121,12,"PCA + Louvain"
0.0296426890169938,13,"PCA + Louvain"
0.0304325524650505,12,"PCA + Louvain"
0.0312434627306284,13,"PCA + Louvain"
0.0320759806303203,13,"PCA + Louvain"
0.0329306819243203,13,"PCA + Louvain"
0.0338081577146135,13,"PCA + Louvain"
0.0347090148537753,13,"PCA + Louvain"
0.0356338763646638,13,"PCA + Louvain"
